bookId=3,price=5000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=1,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=1,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=1,price=2000.0,qty=1,discount=0
bookId=1,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=0,price=2000.0,qty=1,discount=0
bookId=1,price=2000.0,qty=1,discount=0
